concentration,score
0.65,80.12
0.74,72.76
0.76,82.1
0.94,84.75
0.98,90.98
0.99,77.29
1.16,72.62
1.17,78.93
1.23,87.72
1.31,79.04
1.37,74.06
1.56,82.2
1.67,79.19
1.78,71.65
1.88,70.79
1.89,84.46
2.54,57.05
2.68,76.13
2.78,46.85
2.83,76.78
2.84,89.52
2.97,58.2
3.25,58.08
3.26,67.47
3.31,54.63
3.92,53.6
4.2,59.08
4.21,55.0
4.31,63.83
4.36,59.93
4.42,51.45
4.57,46.39
4.69,37.47
4.94,51.43
5.09,45.86
5.28,40.56
5.47,49.36
5.63,36.77
5.81,51.6
5.83,45.65
5.85,42.6
5.97,49.36
6.21,52.32
6.28,38.07
6.41,29.97
6.72,25.5
6.97,22.15
7.15,24.46
7.41,37.74
7.77,29.57
